Condition,N,Accuracy,Macro F1,Δ Accuracy vs Clean
Clean,1500,0.938,0.9386970211723067,0.0
Gaussian Noise (sigma=15),1500,0.5986666666666667,0.5839173920624006,-0.33933333333333326
Blur (ksize=5),1500,0.928,0.9279555777078121,-0.009999999999999898
Brightness (+40),1500,0.936,0.9363222460101429,-0.0019999999999998908
Contrast (factor=0.6),1500,0.6366666666666667,0.6094000721176731,-0.30133333333333323
