Model,Test Accuracy,Macro F1,Weighted F1,Precision (macro),Recall (macro),Inference ms/img,Params,Size (MB),Train Time (s)
Custom CNN,0.938,0.9386970211723067,0.9386970211723068,0.9424268981262143,0.938,8.445469856262207,1245482,15.092273,2886.466300010681
EfficientNetB0,0.9193333333333333,0.9197270617527377,0.9197270617527378,0.9240135650585952,0.9193333333333333,12.467044194539389,4062381,29.069551,1750.8623116016388
MobileNetV2,0.8966666666666666,0.8961494641175378,0.8961494641175377,0.9016078901683754,0.8966666666666665,12.83464781443278,2270794,21.862386,1344.3227174282074
